Set,PriceEuro,Pieces,Minifigs
Emmet's Construction Worker Vest,,,
Batarang,,,
Flail,,,
Emmet Mask,,,
Lucy Hair,,,
Emmet Pod,,27,1
Sweet Mayhem's Disco Pod,,28,1 (1 unique to this set)
TLM2 Tumbler with Straw,,,
TLM2 Hydration Bottle,,,
TLM2 Notebook,,,
Emmet Plush,,,
Lucy Plush,,,
Friends Creative Bag Charms,,,
Stephanie Key Chain,,,
Olivia Key Chain,,,
Friends Phone Cover,,,
Friends Tumbler with Straw,,,
Cookie Cutters,,,
LEGO Friends Ceramic Mug,,,
LEGO Friends Hair Accessory Set,,,
Jay Keyring,,,
Nya Keyring,,,
Lloyd's Kendo Training Pod,,25,1
4 4x4 Magnets,,,
NINJAGO Tumbler with Straw,,,
Creative Bag Charm,,,
Brick Suit Guy Key Chain,,,
Cactus Boy Key Chain,,,
Elephant Girl Key Chain,,,
LEGO Greeting Card,,40,1 (1 unique to this set)
LEGO Toy Soldier Ornament,,43,
Drinking cup,,,
LEGO® Minifigure Ceramic Mug,,,
LEGO Brick Ice Cube Tray,,,
Ice Lollipop Tray,,,
LEGO Key Hanger,,,
London Bus Magnet,,,
4 4x4 Magnets,,,
Creative Stationery Set,,,
City Firefighter Key Chain,,,
City Police Vest,,,
LEGO DUPLO Tableware,,,
Brick Stickers,,17,
Creative Rings,,43,
Stormtrooper Keyring,,,
Luke Skywalker Key Chain,,,
Princess Leia Key Chain,,,
Kylo Ren Key Chain,,,
Spider Man Key Chain,,,
Batman Key Chain,,,
Superman Key Chain,,,
Batwoman Key Chain,,,
Ariel Key Chain,,,
Aurora Key Chain,,,
Creeper Key Chain,,,
Chicken Skater Pod,,36,1 (1 unique to this set)
2x6 Key Chain,,,
TLM2 Stop Sign Shield,,,
Wooden Minifigure,,,
"Wooden Minifigure, Colette Mon Amour Edition",,,
Elsa Key Chain,,,
Anna Key Chain,,,
Olaf Key Chain,,,
Minifigure Factory Box,,,
Young Wu,,9,1
Jay,,8,1 (1 unique to this set)
Heavy Metal,,11,1 (1 unique to this set)
Iron Baron,,7,1
Lloyd,,10,1 (1 unique to this set)
Daddy No Legs,,28,1 (1 unique to this set)
Nya,,9,1 (1 unique to this set)
Blizzard Samurai,,9,1 (1 unique to this set)
Cole,,14,1 (1 unique to this set)
Pyro Whipper,,8,1 (1 unique to this set)
Kai,,10,1
Blizzard Samurai,,8,1 (1 unique to this set)
Zane,,8,1 (1 unique to this set)
Jay,,9,1
Luke Skywalker,,6,1
Resistance Bomber,,37,
Slave I,,31,
U-wing,,37,
IG-88,,11,1
AT-M6,,52,
Millennium Falcon,,32,
B-wing,,52,
First Order Stormtrooper,,5,1
Jedi Interceptor,,30,
First Order SF TIE Fighter,,32,
Kylo Ren's TIE Silencer,,33,
Police Officer and Jet,,22,1 (1 unique to this set)
Fireman,,9,1 (1 unique to this set)
Lawnmower,,27,1 (1 unique to this set)
Police Officer with Jetpack,,10,1 (1 unique to this set)
Gyrocopter,,29,1
Diver,,16,1 (1 unique to this set)
Police Buggy,,27,1
Astronaut,,18,2 (2 unique to this set)
Pizza Delivery Biker,,10,1 (1 unique to this set)
Traffic Cop,,9,1
Space Buggy,,17,1
Lumberjack,,13,1 (1 unique to this set)
FIRST Competitions Medal,,18,
Spike Prime Marketing Kit,,150,
BOOMTOWN BUILD Discover More,,12,
Butterfly,,45,
LEGO System House,,985,
LEGO Play Day polybag,,39,5 (5 unique to this set)
Christmas X-wing,,1038,3 (2 unique to this set)
Reusable Bag,,,
Yoda Minifigure Link Watch,,,
2x4 Red Luggage Tag,,,
2x4 Blue Luggage Tag,,,
LEGO Pencils 6 pack,,,
Building a Dream - The Story of the LEGO House,,,
Emma Buildable Watch,,,
Boy Luggage Tag,,,
Storage Bag,,,
Emmet Alarm Clock,,,
Wyldstyle Alarm Clock,,,
Emmet Minifigure Link Watch,,,
Unikitty Buildable Watch with Figure Link,,,
Wyldstyle Minifigure Link Watch,,,
Hot Dog Guy Key Light,,,
Banana Guy Key Light,,,
Batman Luggage Tag,,,
Emmet Luggage Tag,,,
Sweet Mayhem Luggage Tag,,,
Unikitty Luggage Tag,,,
Unikitty Night Light,,,
THE LEGO MOVIE 2 Sticker Roll,,,
Batman Key Light,,,
Emmet Key Light,,,
Unikitty Key Light,,,
Boy NiteLite,,,
Girl NiteLite,,,
Unikitty Torch,,,
Bag Tag,,,
Lunch Set Iconic Girl,,,
The LEGO Movie 2 Awesome Trading Cards,,,
The LEGO Movie 2 Awesome Collector Album,,,
Holographic Brick Backpack,,,
Boba Fett Bag Tag,,,
Darth Vader Bag Tag,,,
R2 D2 Bag Tag,,,
Yoda Bag Tag,,,
Exclusive LEGO Ford Mustang Key Chain,,,
20th Anniversary Darth Vader Brick Clock,,,
20th Anniversary Darth Vader Link Watch,,,
Stormtrooper Bag Tag,,,
Emmet Clip,,,
Unikitty Clip,,,
LEGO Star Wars Notebook with Gel Pen,,,
Sweet Mayhem Clip,,,
Benny Clip,,,
Emmet Minifigure Plush,,,
Unikitty Plush,,,
Captain Marvel Black & White Art Print,,,
Captain Marvel Art Print,,,
Avengers: Endgame art print,,,
Avengers: Endgame Black & White Art Print,,,
Spider-Man: Far From Home Art Print,,,
Spider-Man: Far From Home Black & White Art Print,,,
THE LEGO MOVIE 2: The Second Part (Blu-ray + DVD),,,
20th Anniversary Star Wars Poster,,,
